,date,agenda,speechnumber,speaker,party,party.facts.id,chair,terms,parliament,iso3country,speech_id,sentence_nr,sentences,vader_neg,vader_neu,vader_pos,vader_compound,txtblob_polarity,txtblob_subjectivity,flair,speech_id.1,ners,entities,ORG,NORP,GPE,PERSON,PM,BJ,TM,BJ_PM,TM_PM,month_year,TM_BJ_01
0,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],1,Ranil Jayawardena,Con,1567,False,25,UK-HouseOfCommons,GBR,20180904000001,1,What recent discussions he has had with the Secretary of State for International Development on using official development assistance to help protect endangered species abroad.,0.0,0.813,0.187,0.6486,0.0,0.125,0.856,20180904000001,['ORG'],['State for International Development'],True,False,False,False,0,0,0,0,0,2018-09,
1,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],2,Harriett Baldwin,Con,1567,False,36,UK-HouseOfCommons,GBR,20180904000002,1,"The Foreign Secretary meets the International Development Secretary regularly to discuss Government action on the illegal wildlife trade and to plan for the UK-hosted international conference in October, which will focus on countering that hideous crime.",0.173,0.827,0.0,-0.7964,-0.0875,0.133653846153846,0.9616,20180904000002,"['ORG', 'GPE', 'DATE']","['International Development', 'UK', 'October']",True,False,True,False,0,0,0,0,0,2018-09,
2,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],3,Ranil Jayawardena,Con,1567,False,56,UK-HouseOfCommons,GBR,20180904000003,1,"Welcome back, Mr Speaker.",0.0,0.5,0.5,0.4588,0.4,0.45,0.9956,20180904000003,[],[],False,False,False,False,0,0,0,0,0,2018-09,
3,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],3,Ranil Jayawardena,Con,1567,False,56,UK-HouseOfCommons,GBR,20180904000003,2,I welcome the Prime Minister's announcement last week that Britain's international aid budget will be used to boost mutual trade.,0.0,0.749,0.251,0.6908,0.266666666666667,0.322222222222222,0.5296,20180904000003,"['DATE', 'GPE']","['last week', 'Britain']",False,False,True,False,1,0,0,0,1,2018-09,May
4,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],3,Ranil Jayawardena,Con,1567,False,56,UK-HouseOfCommons,GBR,20180904000003,3,"Would my Friend the Minister also like to see more aid used to support conservation efforts to similarly boost the protection of endangered species through, for example, more invaluable park rangers?",0.0,0.709,0.291,0.8779,0.333333333333333,0.466666666666667,0.6661,20180904000003,[],[],False,False,False,False,0,0,0,0,0,2018-09,
5,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],4,Harriett Baldwin,Con,1567,False,61,UK-HouseOfCommons,GBR,20180904000004,1,My Friend draws attention to the work we are already doing in this area.,0.0,0.802,0.198,0.4939,0.0,0.0,0.9997,20180904000004,[],[],False,False,False,False,0,0,0,0,0,2018-09,
6,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],4,Harriett Baldwin,Con,1567,False,61,UK-HouseOfCommons,GBR,20180904000004,2,"I had the privilege during the recess of complimenting the British Army, which is helping to train and work with rangers in Malawi.",0.0,0.704,0.296,0.7906,0.0,0.0,0.9108,20180904000004,"['ORG', 'GPE']","['the British Army', 'Malawi']",True,False,True,False,0,0,0,0,0,2018-09,
7,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],4,Harriett Baldwin,Con,1567,False,61,UK-HouseOfCommons,GBR,20180904000004,3,While I was out there I announced a programme that helps with alternative livelihoods to poaching for people who live around that park.,0.0,0.8,0.2,0.5423,0.136363636363636,0.5,0.9784,20180904000004,[],[],False,False,False,False,0,0,0,0,0,2018-09,
8,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],6,Harriett Baldwin,Con,1567,False,89,UK-HouseOfCommons,GBR,20180904000006,1,I did see reports of that very unfortunate incident.,0.32,0.68,0.0,-0.5095,-0.65,1.0,-0.9956,20180904000006,[],[],False,False,False,False,0,0,0,0,0,2018-09,
9,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],6,Harriett Baldwin,Con,1567,False,89,UK-HouseOfCommons,GBR,20180904000006,2,"I am not clear whether there was any UK Government involvement, but it was a very sad incident.",0.306,0.694,0.0,-0.7337,-0.35,0.691666666666667,-0.9984,20180904000006,['ORG'],['UK Government'],True,False,False,False,0,0,0,0,0,2018-09,
