,SITUATION,EMOTION
0,"During the period of falling in love, each time that we met and especially when we had not met for a long time.",JOY
1,When I was involved in a traffic accident.,FEAR
2,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.",ANGER
3,When I lost the person who meant the most to me. ,SADNESS
4,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",DISGUST
5,When I did not speak the truth.,SHAME
6,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,GUILT
7,When I got a letter offering me the Summer job that I had applied for.  ,JOY
8,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,FEAR
9,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,ANGER
10,When my friends did not ask me to go to a New Year's party with them.,SADNESS
11,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,DISGUST
12,When I could not remember what to say about a presentation task at an accounts meeting.,SHAME
13,When my uncle and my neighbour came home under police escort.,GUILT
14,[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.],JOY
15,"Every time I imagine that someone I love or I could contact a serious illness, even death.",FEAR
16,When I had been obviously unjustly treated and had no possibility of elucidating this.,ANGER
17,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,SADNESS
18,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,DISGUST
19,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,SHAME
20,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,GUILT
21,After my girlfriend had taken her exam we went to her parent's place.,JOY
22,"When, for the first time I realized the meaning of death.",FEAR
23,When a car is overtaking another and I am forced to drive off the road.,ANGER
24,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.",SADNESS
25,When I found a bristle in the liver paste tube.,DISGUST
26,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",SHAME
27,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,GUILT
28,When I pass an examination which I did not think I did well.,JOY
29,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",FEAR
30,When one is unjustly accused of something one has not done.,ANGER
31,When one's studies seem hopelessly difficult and uninteresting.  ,SADNESS
32,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",DISGUST
33,"When one has been unjust, stupid towards someone else. ",SHAME
34,When one has neglected or been unjust to a good friend.,GUILT
35,Passing an exam I did not expect to pass.,JOY
36,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,FEAR
37,Friends who torture animals.,ANGER
38,[ Same as in anger.],SADNESS
39,Friends who torture animals.,DISGUST
