,date,agenda,speaker,party,speech_id,sentences,split,list_tokenized,ANGER,DISGUST,FEAR,GUILT,JOY,SADNESS,SHAME
1879862,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000001,What steps her Department is taking to support households transitioning from legacy benefits to universal credit.,"['What', 'steps', 'her', 'Department', 'is', 'taking', 'to', 'support', 'households', 'transitioning', 'from', 'legacy', 'benefits', 'to', 'universal', 'credit.']","[107, 1411, 26, 2382, 66, 450, 4, 937, 32, 4]",0.15109807,0.22411191,0.11420437,0.118338056,0.02137656,0.089788854,0.28108218
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.,"['We', 'currently', 'provide', 'advance', 'payments', 'and', 'a', 'transitional', 'housing', 'payment', 'to', 'claimants', 'coming', 'on', 'to', 'universal', 'credit.']","[28, 4518, 6910, 2466, 6, 2, 2984, 5911, 4, 264, 19, 4]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
