,date,agenda,speaker,party,text,speech_id,sentences
1879862,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,What steps her Department is taking to support households transitioning from legacy benefits to universal credit.,20190107000001,What steps her Department is taking to support households transitioning from legacy benefits to universal credit.
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable. We recognise the challenge that this cultural shift represents. We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit. Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.",20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable."
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable. We recognise the challenge that this cultural shift represents. We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit. Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.",20190107000002,We recognise the challenge that this cultural shift represents.
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable. We recognise the challenge that this cultural shift represents. We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit. Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.",20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable. We recognise the challenge that this cultural shift represents. We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit. Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.",20190107000002,"Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations."
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,"I thank the Secretary of State for her answer. I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved. However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks. Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically? As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?",20190107000003,I thank the Secretary of State for her answer.
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,"I thank the Secretary of State for her answer. I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved. However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks. Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically? As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?",20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,"I thank the Secretary of State for her answer. I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved. However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks. Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically? As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?",20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks."
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,"I thank the Secretary of State for her answer. I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved. However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks. Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically? As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?",20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,"I thank the Secretary of State for her answer. I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved. However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks. Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically? As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?",20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?"
1879865,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],CHAIR,,We are extremely grateful to the Lady.,20190107000004,We are extremely grateful to the Lady.
1879866,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"There was a lot in that question. I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing. The pilot announced some time ago, involving 10,000 people, will be taking place later this year. It will be absolutely central to ensuring that that is effective. I look forward to further discussions about that.",20190107000005,There was a lot in that question.
1879866,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"There was a lot in that question. I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing. The pilot announced some time ago, involving 10,000 people, will be taking place later this year. It will be absolutely central to ensuring that that is effective. I look forward to further discussions about that.",20190107000005,"I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing."
1879866,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"There was a lot in that question. I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing. The pilot announced some time ago, involving 10,000 people, will be taking place later this year. It will be absolutely central to ensuring that that is effective. I look forward to further discussions about that.",20190107000005,"The pilot announced some time ago, involving 10,000 people, will be taking place later this year."
1879866,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"There was a lot in that question. I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing. The pilot announced some time ago, involving 10,000 people, will be taking place later this year. It will be absolutely central to ensuring that that is effective. I look forward to further discussions about that.",20190107000005,It will be absolutely central to ensuring that that is effective.
